model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,100.0,23.0,0.05,10,32,6.538057170482886,7.9977660489967235,7.401888477057805
pinn,1000.0,23.0,0.05,10,32,17.353095531749368,23.159629004337287,30.39890786281667
magi,,23.0,0.05,10,33,0.6256942921592822,1.91913827117125,1.6688122610386407
pinn,0.1,23.0,0.05,10,33,0.3454710055361399,0.21343915706672872,0.21476201279755902
pinn,1.0,23.0,0.05,10,33,1.0016155923898873,1.2992164457972466,2.5396328709228184
pinn,10.0,23.0,0.05,10,33,3.677832953708762,3.174808225673264,5.385967427136726
pinn,100.0,23.0,0.05,10,33,7.0259530265544425,6.60146534755072,6.431470354192367
pinn,1000.0,23.0,0.05,10,33,24.5888891653306,21.926420962006862,20.254994183838555
magi,,23.0,0.05,10,34,0.4218062470025244,1.4554182537509275,1.9251725600768073
pinn,0.1,23.0,0.05,10,34,0.2160071308636226,0.20372044521658433,0.30659489179665667
pinn,1.0,23.0,0.05,10,34,1.2089128550652826,0.6435241134030699,1.1511329107139499
pinn,10.0,23.0,0.05,10,34,7.112200689908916,10.166736343876702,9.470331024259421
pinn,100.0,23.0,0.05,10,34,9.180803169075482,11.745788926133121,9.936496402281575
pinn,1000.0,23.0,0.05,10,34,19.806702014078965,18.889804076431528,14.307281113500824
magi,,23.0,0.05,10,35,0.29921557889738976,1.7944827861326498,2.2924840510599602
pinn,0.1,23.0,0.05,10,35,0.2083484608391197,0.21304704042373393,0.29397608810311726
pinn,1.0,23.0,0.05,10,35,1.4643808326686094,1.910189611213763,3.2596544300318437
pinn,10.0,23.0,0.05,10,35,2.824087578821843,3.5518558964366527,2.7486935284373466
pinn,100.0,23.0,0.05,10,35,9.334633688318078,8.390103935126534,9.973871397437758
pinn,1000.0,23.0,0.05,10,35,19.864489894016646,20.505201009700638,18.314770486334684
magi,,23.0,0.05,10,36,0.45622913503659956,2.247229772142993,1.972543230823625
pinn,0.1,23.0,0.05,10,36,0.20119620503589045,0.2062806997835962,0.28830922467503456
pinn,1.0,23.0,0.05,10,36,3.3065505195139364,3.929769473045186,4.558413500419033
pinn,10.0,23.0,0.05,10,36,1.9706524917348835,2.2311204301773424,2.343543504124397
pinn,100.0,23.0,0.05,10,36,7.15739571664144,9.527753453457274,6.9237154608905565
pinn,1000.0,23.0,0.05,10,36,18.437732227096838,25.347898865226103,21.154977927588504
magi,,23.0,0.05,10,37,0.3011589286033647,1.7905157516486372,1.6933895516253392
pinn,0.1,23.0,0.05,10,37,0.3056559067890525,0.18854187991010624,0.21960490018370155
pinn,1.0,23.0,0.05,10,37,1.1141763033984282,0.739209235338916,1.0995514554604942
pinn,10.0,23.0,0.05,10,37,2.0263340534745784,2.943078534089192,2.5694420305173233
pinn,100.0,23.0,0.05,10,37,8.575581490527345,7.672170398569394,9.120185411203302
pinn,1000.0,23.0,0.05,10,37,19.623338911963938,19.967690818674924,20.821712499949214
magi,,23.0,0.05,10,38,0.48003808172998863,1.6388026220281193,2.020033836818513
pinn,0.1,23.0,0.05,10,38,0.33152107527035474,0.20197023035090958,0.23119969290628714
pinn,1.0,23.0,0.05,10,38,0.972509116543343,3.677081875261369,1.1216856750885555
pinn,10.0,23.0,0.05,10,38,2.199091386569416,3.302617582012913,3.640034061180681
pinn,100.0,23.0,0.05,10,38,7.70246748867666,5.893689628775019,8.993455127539276
pinn,1000.0,23.0,0.05,10,38,19.282579010379468,18.285871116649382,20.033759724331432
magi,,23.0,0.05,10,39,0.4392939895505967,2.0275990929002816,2.1773054115365755
pinn,0.1,23.0,0.05,10,39,0.20790512457578997,0.2489189429123694,0.2994409667225421
pinn,1.0,23.0,0.05,10,39,1.7242070551119257,1.577506777155592,2.2667713765085127
pinn,10.0,23.0,0.05,10,39,3.131757696916495,3.494907484368349,3.021049254565583
pinn,100.0,23.0,0.05,10,39,8.630664351798892,9.629391246871236,8.773551566457678
pinn,1000.0,23.0,0.05,10,39,22.79259271999245,21.797175576354213,20.661825856558696
magi,,23.0,0.05,10,40,0.4029879850473337,0.99932920128341,2.373747107846789
pinn,0.1,23.0,0.05,10,40,0.2124473681741633,0.27190199392114245,0.40575400244719356
pinn,1.0,23.0,0.05,10,40,1.2944363753149404,1.7790805277596948,2.276888629183568
pinn,10.0,23.0,0.05,10,40,2.6190613093015815,3.0269972907279588,2.4659933720031506
pinn,100.0,23.0,0.05,10,40,8.509747530461304,9.445127562780135,11.587022658532456
pinn,1000.0,23.0,0.05,10,40,17.31446740721372,22.495875079274605,19.453860412945932
magi,,23.0,0.05,10,41,0.2888698779264202,2.015147355164888,1.8815943916231692
pinn,0.1,23.0,0.05,10,41,0.294242241615243,0.6964555585004337,0.5601871999536681
pinn,1.0,23.0,0.05,10,41,0.9858111146842167,1.2575362396521994,1.1242209610304588
pinn,10.0,23.0,0.05,10,41,2.77897832618212,3.476814399025771,3.8611925132642675
pinn,100.0,23.0,0.05,10,41,7.295738289109722,9.10945515918243,8.833386625583408
pinn,1000.0,23.0,0.05,10,41,17.146899355410508,24.326273573091274,17.421213584954238
magi,,23.0,0.05,10,42,0.45999213908317577,1.6573417248475102,2.2207824338115616
pinn,0.1,23.0,0.05,10,42,0.2567508352236514,0.35078747124270776,0.3561362364737957
pinn,1.0,23.0,0.05,10,42,1.2299794284264955,1.7153712106164063,2.7191457485742068
pinn,10.0,23.0,0.05,10,42,2.473742521869083,3.4255516924988703,4.7269421966104215
pinn,100.0,23.0,0.05,10,42,8.223504632147753,8.474618871620377,9.04643223850014
pinn,1000.0,23.0,0.05,10,42,18.006700692487787,15.874669138851013,19.003038520360928
magi,,23.0,0.05,10,43,0.4384941879954025,2.214837241686867,2.3467627195369563
pinn,0.1,23.0,0.05,10,43,0.24768725176247805,0.26935746207814915,0.3755308157973344
pinn,1.0,23.0,0.05,10,43,1.8537066309346104,1.7872507151450496,2.249727564960216
pinn,10.0,23.0,0.05,10,43,1.767791452621742,2.0823701629545712,2.1395179811202234
pinn,100.0,23.0,0.05,10,43,7.3715446533661435,8.676297785376669,7.477737016621485
pinn,1000.0,23.0,0.05,10,43,18.392944099495033,20.074322680050145,17.406749308955135
magi,,23.0,0.05,10,44,0.4380029748570213,1.7946679642866687,1.8363334923974641
pinn,0.1,23.0,0.05,10,44,0.29827183883484276,0.19633759174832818,0.22728520185337894
pinn,1.0,23.0,0.05,10,44,1.2470165438029726,2.1093055876860856,2.055955672350966
pinn,10.0,23.0,0.05,10,44,2.0652605307780605,2.505687314693966,2.1884679000891194
pinn,100.0,23.0,0.05,10,44,7.01639697417298,7.431649278443115,6.562298548962946
pinn,1000.0,23.0,0.05,10,44,17.608158062448567,22.128276500075533,16.29615558967393
magi,,23.0,0.05,10,45,0.4125245933483887,1.8200720457520263,2.1468055225662233
pinn,0.1,23.0,0.05,10,45,0.17161251044257966,0.22907532257736432,0.366040065320748
pinn,1.0,23.0,0.05,10,45,1.3358800140024951,1.7868546508114438,3.006867460417342
pinn,10.0,23.0,0.05,10,45,3.124280454840152,5.133609409074964,3.365015169536019
pinn,100.0,23.0,0.05,10,45,7.387158549654187,7.763808776917787,6.475513964989414
pinn,1000.0,23.0,0.05,10,45,21.1274525436173,19.690395169387244,17.917168869709013
magi,,23.0,0.05,10,46,0.38010705071190454,1.711015850809692,1.9214333190895274
pinn,0.1,23.0,0.05,10,46,0.2174237093425529,0.2759254008340865,0.31202844329780427
pinn,1.0,23.0,0.05,10,46,1.1648578339328373,0.5032095235638282,1.149322663638043
pinn,10.0,23.0,0.05,10,46,2.794005711400652,3.0811231055935915,2.930132128674332
pinn,100.0,23.0,0.05,10,46,7.859223360755277,7.30749043054793,7.473307097061204
pinn,1000.0,23.0,0.05,10,46,19.891416944587814,19.786519080565455,18.003686226055756
magi,,23.0,0.05,10,47,0.5729441158085841,2.240309727785357,2.189852594083279
pinn,0.1,23.0,0.05,10,47,0.3755765319865589,0.20785707417605853,0.19962425495080763
pinn,1.0,23.0,0.05,10,47,1.7206491450017354,1.6697049658270235,2.3074698445576063
pinn,10.0,23.0,0.05,10,47,2.5327038969417845,3.3973883133797123,2.798045766411584
pinn,100.0,23.0,0.05,10,47,7.122663313466112,6.814950348053186,7.043833716677066
pinn,1000.0,23.0,0.05,10,47,19.86043455216382,21.37298986730273,17.744806161350713
magi,,23.0,0.05,10,48,0.5599067276466401,2.505958954745412,2.724521876454368
pinn,0.1,23.0,0.05,10,48,0.33871470085884786,0.6208112176544966,0.5806395233373346
pinn,1.0,23.0,0.05,10,48,1.5505273906244528,2.039795595057656,2.557004097392328
pinn,10.0,23.0,0.05,10,48,12.66284715942022,9.462641492988055,11.378293002521328
pinn,100.0,23.0,0.05,10,48,7.9275901528851,7.806371691062956,6.801450255959139
pinn,1000.0,23.0,0.05,10,48,19.409990700252518,20.12134399748229,19.948077576152052
magi,,23.0,0.05,10,49,0.3767353400770015,2.842622124699179,2.309327133457343
pinn,0.1,23.0,0.05,10,49,0.2270668048860237,0.4070300412014955,0.4443378201520479
pinn,1.0,23.0,0.05,10,49,0.9716953481505912,2.056596995112285,3.09115280474427
pinn,10.0,23.0,0.05,10,49,3.1846107411383913,3.751613111784903,3.892065471709974
pinn,100.0,23.0,0.05,10,49,7.818668723406007,10.564640615426491,12.333253931947507
pinn,1000.0,23.0,0.05,10,49,21.322337400999064,33.46810176845962,31.388321186374856
magi,,23.0,0.05,10,50,0.4177639447147962,2.8360408196858127,1.695475307569312
pinn,0.1,23.0,0.05,10,50,0.3125194724327038,0.20532294665776402,0.22459001432426842
pinn,1.0,23.0,0.05,10,50,1.105285929865208,1.863207257608814,2.990478095293105
pinn,10.0,23.0,0.05,10,50,2.4266788950654243,3.155886522132291,3.0337971860239676
